IPK; Pengetahuan di bidang atau disiplin ilmu anda                                         (rendah)1-5(tinggi);Pengetahuan di luar bidang atau disiplin ilmu anda        (rendah)1-5(tinggi);Pengetahuan umum                  (rendah)1-5(tinggi);Ketrampilan internet                          (rendah)1-5(tinggi);Ketrampilan komputer                          (rendah)1-5(tinggi);Ketrampilan                    Sistem Keamanan Komputer (rendah)1-5(tinggi);Ketrampilan                    Jaringan Komputer (rendah)1-5(tinggi);Ketrampilan Program Aplikasi WEB                    (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Multimedia                     (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Android                          (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Database                          (rendah)1-5(tinggi);Berpikir kritis                          (rendah)1-5(tinggi);Bahasa Inggris                       (rendah)1-5(tinggi) ;Ketrampilan riset                            (rendah)1-5(tinggi);Kemampuan berkomunikasi                (rendah)1-5(tinggi);Kemampuan Bekerja di bawah tekanan                              (rendah)1-5(tinggi);Manajemen waktu                    (rendah)1-5(tinggi) ;Bekerja secara mandiri                       (rendah)1-5(tinggi)    ;Bekerja dalam tim/bekerjasama dengan orang lain                   (rendah)1-5(tinggi);Kemampuan dalam memecahkan masalah                           (rendah)1-5(tinggi)   ;Kemampuan analisis          (rendah)1-5(tinggi) ;Toleransi                             (rendah)1-5(tinggi);Kemampuan adaptasi                         (rendah)1-5(tinggi);Loyalitas                             (rendah)1-5(tinggi);Integritas f                          (rendah)1-5(tinggi);Kepemimpinan                             (rendah)1-5(tinggi);Kemampuan dalam memegang tanggungjawab                        (rendah)1-5(tinggi);Inisiatif                          (rendah)1-5(tinggi);Kemampuan untuk memresentasikan ide/produk/laporan              (rendah)1-5(tinggi) ;Kemampuan dalam menulis laporan, memo dan dokumen                    (rendah)1-5(tinggi);Posisi Pekerjaan;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
290;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
293;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
274;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
294;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
295;5;5;5;5;5;4;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;Guru TIK;;;;;;
345;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
277;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
278;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
302;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
285;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
345;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
308;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
352;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
316;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
280;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
305;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
305;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
311;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
272;5;5;5;5;5;3;3;3;3;4;5;4;5;4;5;5;5;5;4;5;3;5;5;5;5;3;5;5;5;5;Customer Service;;;;;;
312;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;MIS Director;;;;;;
350;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
335;5;5;5;5;5;3;3;3;3;4;5;4;5;4;5;5;5;5;4;5;3;5;5;5;5;3;5;5;5;5;Customer Service;;;;;;
327;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
359;5;5;5;5;5;4;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;Guru TIK;;;;;;
332;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
318;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
293;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
302;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
309;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
292;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
297;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
287;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
309;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
331;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
351;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
301;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
284;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
291;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
295;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
274;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
267;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
308;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
315;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
251;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
292;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
355;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
252;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
302;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
362;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
311;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
336;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
368;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
325;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
286;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
351;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
355;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
259;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
286;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
278;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
282;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
312;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
294;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
299;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
258;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
311;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
325;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
257;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
334;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
359;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
359;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
357;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
302;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
335;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
278;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
350;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
293;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
312;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
328;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
311;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
246;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
349;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
358;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;MIS Director;;;;;;
279;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
286;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
282;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
351;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
295;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
295;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
329;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
309;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
299;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
342;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
363;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
301;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
301;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
299;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
292;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
254;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
254;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
353;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
311;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
308;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
336;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
295;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
239;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
301;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
359;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
239;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
279;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
335;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
278;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
328;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
291;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
274;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
251;4;4;4;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;3;5;5;4;5;Agent Monitoring ATM;;;;;;
359;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
302;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
359;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
275;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
357;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
278;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
335;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;MIS Director;;;;;;
284;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
328;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
302;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
282;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
274;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
256;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
315;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
287;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
287;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
253;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
268;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
324;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
315;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
329;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
349;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
286;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
326;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
302;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
275;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
287;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
294;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
340;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
359;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
301;5;5;5;5;5;3;3;3;3;4;5;4;5;4;5;5;5;5;4;5;3;5;5;5;5;3;5;5;5;5;Customer Service;;;;;;
287;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
293;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
359;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
357;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
277;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
302;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
335;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
286;4;4;4;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;3;5;5;4;5;Agent Monitoring ATM;;;;;;
295;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
374;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
305;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
350;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
302;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
302;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
329;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
338;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
249;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
278;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
296;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
279;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
282;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
341;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
254;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
301;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
239;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
278;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
335;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
